Name of the painting,Style,Year,Period,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Our Futures is in the Air,Cubism,1912,Cubist Period,1.7557,7.7303,68.8768,224.5350
"Partition, bottle of port, guitar, playing cards",Synthetic Cubism,1917,Cubist Period,1.7659,7.5619,62.4188,368.9024
"Pedestal, glasses, cups, mandolin",Cubism,1911,Cubist Period,1.8366,7.7635,68.0424,229.4669
Pedestal,Synthetic Cubism,1914,Cubist Period,1.8567,7.5329,116.7763,603.7222
Pierrot with a mask,Post-Impressionism,1918,Cubist Period,1.7254,7.4511,152.5836,474.5350
Pigeon_1,Realism,1948,Cubist Period,1.9237,6.2679,25.3060,462.6517
Pipe and card,Synthetic Cubism,1914,Cubist Period,1.8006,6.0639,14.4732,362.6083
Pipe and Musical Score (Pipe and Sheet Music),Synthetic Cubism,1914,Cubist Period,1.6799,7.2395,137.8817,277.1953
Playing Card and Glass,Synthetic Cubism,1914,Cubist Period,1.9251,7.1251,230.8911,386.6207
Poet,Analytical Cubism,1911,Cubist Period,1.7927,7.7778,235.4372,509.2316
Portrait of Ambroise Vollard,Analytical Cubism,1910,Cubist Period,1.6575,7.5698,239.9819,357.9791
Portrait of Daniel-Henry Kahnweiler,Analytical Cubism,1910,Cubist Period,1.7396,7.4986,318.5423,425.5229
Portrait of Diaghilev and Seligsberg,Expressionism,1917,Cubist Period,1.8834,2.7825,44.8159,675.0483
Portrait of Fernande Olivier,Cubism,1909,Cubist Period,1.8231,7.5269,165.1994,730.2578
Portrait of Léonide Massine,Neoclassicism,1919,Cubist Period,1.9017,7.6954,160.1802,719.2676
Portrait of Madame Patri,Expressionism,1918,Cubist Period,1.8687,5.7064,34.2103,785.8298
Portrait of Pierre Auguste Renoir,Expressionism,1919,Cubist Period,1.8384,7.4392,205.4404,413.6929
Portrait of Wilhelm Uhde,Analytical Cubism,1910,Cubist Period,1.8064,7.4964,228.6207,506.4573
Portrait of young girl,Synthetic Cubism,1914,Cubist Period,1.7076,7.4109,298.4635,442.3644
Seated female nude_3,Analytical Cubism,1910,Cubist Period,1.5633,7.1445,444.1490,314.3955
Seated man with his arms crossed,Cubism,1915,Cubist Period,1.9036,5.1810,26.8736,502.5844
Seating nude,Cubism,1908,Cubist Period,1.8897,2.8492,9.6383,635.6753
Self-Portrait_11,Expressionism,1917,Cubist Period,1.8808,4.6765,14.8850,304.9321
